Tweet_count,Name,Text,Retweets,Likes,Date
20,Piotrdotcom 🇵🇱🇪🇸🇫🇷🇪🇺 #SilniRazem,Trzaskowski wygrywa z każdym. Najnowszy sondaż⬇️ https://t.co/I4lmzou7Q3 https://t.co/5abBVuepBb,31,137
21,Aneta ObserwatorXY,"Dziesięć nieprawd Karola Nawrockiego, a wśród nich np.: "" jako kandydat na urząd prezydenta złożyłem trzy projekty ustaw"". https://t.co/H8bzczN356",69,159
22,OficjalneZero,"Marszałek Szymon Hołownia ogłosił datę wyborów prezydenckich 2025. Jak przekonuje Robert Mazurek w swoim najnowszym materiale, stawka ich będzie bardzo wysoka.  Co jest najważniejsze dla Rafała Trzaskowskiego, a co dla Karola Nawrockiego? O co walczą Szymon Hołownia, Sławomir https://t.co/AGJoAnwrBn",27,954
23,𝕸𝖔𝖗𝖌𝖊𝖓𝖘𝖙𝖊𝖗𝖓,"Nowiutki CBOS zwiastuje ostatnie tchnienie Karola, taniec na trumnie nie pomógł Kaczyńskiemu. Badanie „Wybory prezydenckie” metodą mieszaną 17–20 marca 2025 roku na próbie 1003 dorosłych Polaków. https://t.co/cMPLcGEjZb",31,161
24,Jorge,top 3 powodów kłótni fanbazy Arsenalu w 2025: 1. AC Shadows 2. Wybory prezydenckie 2025 3. Mikel Arteta,0,26
25,Jowita #Nawrocki2025,18 maja 2025 to będzie bardzo dobry dzień dla Polski.  105. Rocznica urodzin Jana Pawła II  81. Rocznica Bitwy o Monte Cassino  Wybory prezydenckie wygrane przez @NawrockiKn w pierwszej turze😊. PIERWSZA TURA BEZ BĄŻURA ‼️ #NawrockiPrezydent2025 🇵🇱🥊 https://t.co/YGYIPd3Wb3,135,403
26,ZMOK.PL,"Jak zakończą się wybory prezydenckie 2025?  1. Przegrana Trzaskowskiego, unieważnienie i wariant rumuński. 2. Wygrana Trzaskowskiego i dyktatura KO. 3. Przegrana Trzaskowskiego i upadek rządu Tuska. 4. Przegrana Trzaskowskiego, ale dalsze rządy KO bez prezydenta.",17,30
27,Opinia24.pl,"48% badanych zdecydowanie deklaruje, że już wie, na kogo zagłosuje w #Wybory2025. Aż 40% może zmienić decyzję między I a II turą. 📍Badanie Opinia24 dla @MoreInCommon_PL 📍CATI/CAWI/CAPI, N=1501, marzec 2025 Raport: https://t.co/p2xjtHMqzK #WyboryPrezydenckie #Opinia24 #sondaż https://t.co/T68ilNpj1b",0,4
28,Desmond 🍑,Program Hołowni na wybory prezydenckie 2025:  -Mentzen zły,0,2
29,Szymon Hołownia,"Podjąłem decyzję, że wybory prezydenckie odbędą się 18 maja. Jeśli niezbędna będzie II tura, to ponowne głosowanie odbędzie się 1 czerwca. https://t.co/yCNl7uD90Q",90,713
30,Salicynka,Wybory prezydenckie 2025 będą dla Polski referendum za odrzuceniem rządu Donalda Tusska!!!! @Nawrocki25 💪🇵🇱❤️,9,19
31,🇵🇱 MARCIN EDO,"Można robić screeny... Przed Państwem wyniki wyborów prezydenckich II tury z dnia 1 czerwca 2025 roku. Niekwestionowanym zwycięzcą zostanie @NawrockiKn✌️ Co wydarzy się później, to już inna kwestia. Czerwiec będzie wyjątkowo gorący. https://t.co/KnPkaWqhC4",99,311
32,Bartosz Bocheńczak,"Znamy kalendarz wyborczy! 18 maja I tura wyborów prezydenckich, 1 czerwca II tura, a 6 sierpnia zaprzysiężenie Sławomira Mentzena.",26,435
33,Piotr,"@thepolandnews_ Co za pojebane przepisy.. przecież są dowody na to, że zachowywał się w naszym kraju w sposób niedopuszczalny. To czego chce się jeszcze doszukiwać sąd? Teraz ten pajac będzie utrzymywany z naszych podatków przez jakiś czas. Wybory prezydenckie 2025 między innymi o tym są.",3,207
34,Cezary Graf,🇷🇴Już 4 maja 2025 roku odbędą się wybory prezydenckie w Rumunii  Jest mały niuans  Nie można głosować na kandydata z największym demokratycznym poparciem,29,197
35,Marcin Rola 🇵🇱,UWAGA! Sonda wyborcza - WYBORY PREZYDENCKIE 2025?! Na kogo oddasz swój głos 18 maja 2025?!🤔🇵🇱🔥🚨,322,499
36,Rafał Bonikowski #Nawrocki2025 🇵🇱,Wybory prezydenckie 2025 🇵🇱💪#NormalnaPolska 👇 https://t.co/RPxAXmFrF2,5,18
37,PrawyWiarus 🇵🇱 🐺,Kto wygra wybory prezydenckie 2025?,48,50
38,Alicja.,Zemsta wersja wybory prezydenckie 2025,0,7
39,Historia Fotografią Pisana,10.03.2025 r. - ... wybory prezydenckie ido 😂  Elektorat się uaktywnia 😂 https://t.co/ZK1OhUhwp2,2,18
40,Konkret24,"Kandydat Konfederacji na prezydenta porusza na wyborczych wiecach wiele różnych tematów, wygłaszając tezy, które nieraz są manipulacjami ❌  Tekst @zuzannnakar ⤵️ https://t.co/Ne28CkxIvy",35,95
41,Ellan Enish,Wybory Prezydenckie 2025 być jak: https://t.co/XAHx5ot0uh,0,0
42,Marcin Rola 🇵🇱,UWAGA! Sonda wyborcza - WYBORY PREZYDENCKIE 2025?! Na kogo oddasz swój głos 18 maja 2025?!🤔🇵🇱🔥🚨,8,21
43,🇵🇱Polka🇵🇱,"🔴 Sonda, ręce na pokład moi mili ludzie 😘 👍👇 A żywo ‼️   https://t.co/bwaDe3KQ80",142,217
44,dr Piotr Napierała,Wybory prezydenckie 2025 - rozmowa z Tomaszem Wiejskim https://t.co/kSwnk9r1x9,7,28
45,Konfederacja,"Wicemarszałek Sejmu @krzysztofbosak w debacie @se_pl ostrzega, że w rok 2025 czeka nas spowolnienie gospodarcze, wzrost kosztów życia oraz problemy wynikające z unijnych regulacji, takich jak Zielony Ład!   Obecne działania rządu są bardziej elementem kampanii wyborczej niż https://t.co/EW1rt2AXV1",64,542
46,.,Ten duet przypilnuje by nikt piachu w tryby nie sypał  Wybory Prezydenckie 2025 . https://t.co/7v6vsfF4Kb,0,0
47,KSIĄŻĘ PÓŁKRWI,❗WYBORY PREZYDENCKIE W POLSCE ODBĘDĄ SIĘ 18 MAJA. EWENTUALNA DRUGA TURA 1 CZERWCA.  15 stycznia oficjalny start kampanii. Kadencja Andrzeja Dudy kończy się 6 sierpnia. https://t.co/j20Y5TTKiP,95,3769
48,PlatformaObywatelska,18 maja 2025 I tura wyborów prezydenckich. Cała Polska naprzód❗ https://t.co/7kQu2cb107,459,1917
49,Robert Winnicki,"W związku z tym, że, tak jak już w październiku przewidywałem, Trzaskowski wydaje się być bardzo marną konkurencją, a rząd Centrolewu daje ciała na każdym polu i traci poparcie…  …główną osią kampanii prezydenckiej 2025 mają szansę stać się różne fronty wojny domowej po prawej https://t.co/FUEGZacGN3",20,437
50,Paweł Szefernaker 🇵🇱,Wybory Prezydenckie odbędą się 18 maja. Przed nami w pierwszej turze wyborów 128 dni kampanii.   Jest to równoznaczne:  ✔️ 4 miesięcy i 8 dni ✔️ 18 tygodni i 2 dni ✔️ 3 076 godz. ✔️ 184 575 min.  Nie zmarnujemy ani jednego dnia tej kampanii! Będziemy walczyć o każdy głos!,505,1614
51,tvn24,"- Zaczynamy kolejną ogólnopolską akcję ""Obywatele Naprzód"" - ogłosił w niedzielę kandydat KO na prezydenta Rafał Trzaskowski. https://t.co/0e5BpSOZcC",15,102
52,Chris Reiko 🇵🇱🇺🇸,"Białoruś, ktoś powie? A może Moskwa? Nie to Polska 2025 pod rządami agentur. Pozbawić opozycje subwencji, aresztować posłów, wyeliminować kogo się da. Choć pewnie i tak przegrają wybory prezydenckie, aż strach pomyśleć do czego się wtedy posuną 👇",8,32
53,Jolanta,"Za 41 dni wybory. Moj głos ma @szymon_holownia dziennikarz, działacz społeczny,  marszałek Sejmu. Nie boi się mówić prawdy, nie pudruje. #SzymonHołownia2025  #ToLudzieSąNajważniejsi  #SilnaBezpiecznaPolska  #PojednanaPolska #Prezydent https://t.co/Vi2umlC2Jp",20,61
54,🇵🇱Polka🇵🇱,"Powtórzę za Panem @michaldworczyk. ""Pamiętacie jak Rafał Trzaskowski mówił, że słusznie Unia Europejska wszczęła procedurę karną przeciwko Polsce za nieprzyjęcie hordy migrantów? Wiecie co to będzie oznaczało gdyby wygrał wybory prezydenckie..."" Tak mówił i myśli i zrobi,",74,163
55,Polka🇵🇱,"#NawrockiPrezydent2025  #NormalnaPolska  #StawkąJestPolska 🇵🇱❤️ Wybieram bezpieczeństwo, powstrzymanie Paktu Migracyjnego, suwerenność Polski i utrzymanie polskiej złotówki jako waluty, rozwój zahamowanych inwestycji, poszanowanie porządku prawnego.  Mój głos ma #Nawrocki2025",2,5
56,🇵🇱Polka🇵🇱,Szczęść Boże 🙏 ♥️ 🌹 🇵🇱 #PozdrawiamWas ♥️ 👋 😘 #Prezydent2025 @NawrockiKn @Nawrocki25 ✌️ https://t.co/E83txyQoFz,183,653
57,Argentyński Futbol 🇦🇷🇵🇱,"1/x Jako, że mój czas na „X” nieubłaganie zbliża się ku końcowi, nie może być tak, że temat River Plate - sezon 2025 - pozostanie nietknięty. Marcelo Gallardo wrócił z jasnym i klarownym planem➡️pomóc opcji rządzącej wygrać kolejne wybory prezydenckie w oparciu o sukces sportowy. https://t.co/LQTTnjzG05",0,6
58,Robert Damski,"Wielkanoc 2025. W sztabie PIS panika. Wybory prezydenckie coraz bliżej, a poparcie dla Kandydata Obywatelskiego spada na łeb na szyję. Wyprzedza go nawet Hołownia. Przerażony sondażami Kandydat biegnie do kościoła. Klęka i modli się: - Panie Boże, jeśli pozwolisz mi wygrać, to",3,20
59,Wolność #komunistaTusk2025🗽💵💡🟨,"❗️Aktualizacja prognozy na wybory 2025  🟧 Trzaskowski - 37,7% 🟦 Nawrocki - 30,2% ⬛ Mentzen - 16,8% 🟨 Hołownia - 8,3% 🟥 Biejat - 3,2% ❗️Zandberg - 2,0% 🟫 Braun - 1,2% ℹ️ inni - 0,6%  II tura: 🟧 Trzaskowski - 53,1% 🟦 Nawrocki - 46,9%",12,313
60,WarNewsPL,🇵🇱 Wybory prezydenckie odbędą się 18 maja - ogłosił @szymon_holownia https://t.co/QY4cGbY2QR,25,810
61,Grok,"@TyszeckiM @McGramat @SlawomirMentzen @szymon_holownia Hej, prawdopodobnie nie jest odpowiednie, by Minister Cyfryzacji pisał posty kampanijne, gdy system zbierania podpisów na wybory Prezydenckie 2025 szwankuje – wysokie odrzuty, brak weryfikacji autentyczności. Jako nadzorca infrastruktury cyfrowej wyborów, jego rola budzi etyczne https://t.co/9yonEWcTx2",0,21
62,tvn24,"Według najnowszego sondażu Instytutu Badań Pollster,  Rafał Trzaskowski pokonuje w drugiej turze wyborów zarówno Karola Nawrockiego, jak i Sławomira Mentzena.  https://t.co/4OAj6hYE09",253,1600
63,Wolny wolnorynkowiec,Kto wygra wybory prezydenckie 2025?,0,2
64,Spirydion Oxymoron,"Potencjalnie przegrane (w wiadomy sposób) przez Polskę wybory prezydenckie 2025 będą nie tylko cezurą w naszej historii, ale policzeniem się ilu jest Polaków w Polsce, oraz ile jest jeszcze polskości w Polakach. Czy naprawdę można już zrobić z nami wszystko, upodlić aż do krańca?",23,67
65,Dawid $ikario,"Wybory Prezydenckie 2025 – na kogo zagłosujesz? 🇵🇱 Czy Twój głos otrzyma Karol Nawrocki, Sławomir Mentzen, Rafał Trzaskowski, a może ktoś zupełnie inny?   Masz już swojego kandydata czy wciąż się zastanawiasz? Podziel się swoją opinią! 👇  #Wybory2025 #Prezydent2025 #Mentzen2025 https://t.co/BV1t1BR3tK",0,3
66,Gregor355 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇪🇺🇵🇱,"📢Niedziela, 18 maja 2025 Wybór jest jeden, tylko Prezydent Rafał Trzaskowski @trzaskowski_ , innej opcji nie ma.✌️🇵🇱🇪🇺 #Trzaskowski2025 https://t.co/doQKHSsmmM",134,369
67,Polka🇵🇱,"#NawrockiPrezydent2025 to wiarygodność i godność, kompetencje,klasa,stawianie 🇵🇱 interesów i Polskiej Racji Stanu na pierwszym miejscu #NormalnaPolska . Trzaskowski, to koniec podmiotowości Polski, pełna realizacja Paktu Migracyjnego, federalizacja UE i wprowadzenie euro w 🇵🇱...",2,3
